Season,Spearman_Correlation,Kendall_Tau,MAE,Perfect_Matches,Total_Teams
2003-04,0.6087912087912088,0.5824175824175825,2.5714285714285716,0,14
2004-05,0.8736263736263737,0.7948717948717947,0.9230769230769231,8,13
2005-06,0.7934065934065934,0.6703296703296704,1.8571428571428572,3,14
2006-07,0.8901098901098902,0.8021978021978022,1.1428571428571428,5,14
2007-08,0.8241758241758241,0.7142857142857144,1.5714285714285714,6,14
2008-09,0.8321428571428571,0.7142857142857143,1.7333333333333334,5,15
2009-10,0.8945054945054945,0.7582417582417583,1.2857142857142858,5,14
2010-11,0.7357142857142855,0.6761904761904762,2.0,3,15
2011-12,0.8705882352941177,0.7833333333333333,1.375,7,16
2012-13,0.8029411764705883,0.7,1.875,2,16
2013-14,0.9035714285714285,0.7904761904761906,1.2,5,15
2014-15,0.8558823529411764,0.7333333333333334,1.75,4,16
2015-16,0.9357142857142854,0.8476190476190477,0.8,9,15
2016-17,0.85,0.7,2.0,3,16
2017-18,0.8058823529411765,0.7333333333333334,1.625,5,16
2018-19,0.8676470588235294,0.7833333333333333,1.375,6,16
2019-20,0.911764705882353,0.7666666666666667,1.5,2,16
2020-21,0.8571428571428571,0.7904761904761906,1.3333333333333333,4,15
2021-22,0.8607142857142854,0.7714285714285715,1.4666666666666666,3,15
2022-23,0.8035714285714284,0.7523809523809525,1.6,5,15
2023-24,0.9749999999999999,0.8857142857142857,0.6666666666666666,7,15
